id,name,position,jersey,rushing_avg_yards,rushing_attempts,rushing_touchdowns,rushing_yards,rushing_longest,rushing_longest_touchdown,rushing_redzone_attempts,rushing_tlost,rushing_tlost_yards,rushing_first_downs,passing_attempts,passing_completions,passing_cmp_pct,passing_yards,passing_avg_yards,passing_sacks,passing_sack_yards,passing_touchdowns,passing_longest,passing_interceptions,passing_rating,passing_longest_touchdown,passing_air_yards,passing_redzone_attempts,passing_gross_yards,passing_first_downs,passing_int_touchdowns,defense_tackles,defense_assists,defense_combined,defense_sacks,defense_sack_yards,defense_interceptions,defense_passes_defended,defense_forced_fumbles,defense_fumble_recoveries,defense_qb_hits,defense_tloss,defense_tloss_yards,defense_safeties,defense_sp_tackles,defense_sp_assists,defense_sp_forced_fumbles,defense_sp_fumble_recoveries,defense_sp_blocks,defense_misc_tackles,defense_misc_assists,defense_misc_forced_fumbles,defense_misc_fumble_recoveries,defense_sp_own_fumble_recoveries,defense_sp_opp_fumble_recoveries,receiving_receptions,receiving_targets,receiving_yards,receiving_avg_yards,receiving_longest,receiving_touchdowns,receiving_longest_touchdown,receiving_yards_after_catch,receiving_redzone_targets,receiving_air_yards,receiving_first_downs
66da6200-eacc-11ee-ae70-b9e100f9e2a3,Jude Foster,OL,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692b9d20-8e95-11ec-8d02-85ead82574a9,Walker Howard,QB,4,,,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71f14f40-daad-11ec-9fbe-d764b66afc75,Salathiel Hemphill,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7658d5eb-084d-4197-9d2e-b8306d50373d,John Saunders Jr.,SAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,19.0,48.0,0.0,0.0,3.0,4.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
77d3d300-5437-11ef-9fca-813db73cd1c3,William Echoles,DT,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,9.0,0.5,4.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
77fb5de1-5296-47b2-b102-2a4f2ebede35,Izaiah Hartrup,WR,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7a751562-a506-4844-813c-c399196e02d9,Tre Harris,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,78.0,1030.0,17.167,70.0,7.0,70.0,993.0,8.0,37.0,36.0
7bd128b0-ef5f-11ed-ba71-41956f3878c1,John Ross Ashley,CB,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7f4279d0-a280-11ed-8817-fbb3e64504d9,Ayden Williams,WR,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,39.0,13.0,14.0,0.0,0.0,39.0,0.0,0.0,3.0
81f1c9c0-8638-11ec-ac3f-2f01cb0af5e4,Nick Cull,SAF,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
823f49a0-a281-11ed-8817-fbb3e64504d9,Cayden Lee,WR,19,9.0,2.0,0.0,18.0,13.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,73.0,874.0,15.333,58.0,2.0,35.0,822.0,8.0,52.0,38.0
83c97580-5436-11ef-9fca-813db73cd1c3,Jack Harper,TE,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87e6bbd0-eac0-11ee-8a20-978585ed32d7,Zamari Bruce,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8daf0263-24c2-4a17-8d5c-e48ba49cfb75,Jordan Watkins,WR,,6.667,3.0,0.0,20.0,19.0,0.0,1.0,1.0,-2.0,1.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,49.0,73.0,906.0,18.49,75.0,9.0,75.0,881.0,9.0,25.0,27.0
8fd911a0-ef60-11ed-ba71-41956f3878c1,Nyseer Fullwood-Theodore,CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95b718c7-9d56-4fa4-adc6-0042ce919bfc,Caden Prieskorn,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,38.0,401.0,14.852,46.0,3.0,46.0,371.0,8.0,30.0,17.0
95e1f900-234a-11ed-8e1e-812349f8e9b9,Charlie Pollock,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96f38760-ef5e-11ed-ba71-41956f3878c1,Antione Johnson,SAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
9a9d9340-5436-11ef-9fca-813db73cd1c3,Micah Stallworth,CB,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9e77ae40-5438-11ef-9d43-b5e7b712a036,Kavion Broussard,OL,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9f0a3ea0-eaab-11ee-ab40-49605a2c8d3d,Kam Franklin,DE,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,11.0,2.5,16.0,0.0,0.0,0.0,0.0,3.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
9f0e46f0-8bb2-45dc-803c-bea8bc43f3da,Key Lawrence,SAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
9f7299c0-16ba-11ee-8c92-9338d1b61ba9,Ali Scott,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9f7c2e70-a281-11ed-8817-fbb3e64504d9,Chamberlain Campbell,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a077b970-5437-11ef-813c-4f549f3a8913,Joe Koury,OL,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a506cc90-5439-11ef-9354-2fc21cd8485e,Kamron Beavers,DT,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a554d671-95f0-4349-bfb8-5750d7f1dd57,Yam Banks,SAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,10.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
a57b3ac0-9b7c-11ed-a4a7-731774d8a58d,Micah Davis,WR,6,2.368,19.0,0.0,45.0,9.0,0.0,2.0,5.0,-7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9.0,57.0,11.4,26.0,0.0,0.0,57.0,1.0,0.0,3.0
a6f6bb8d-4b60-49f8-9f36-3cc16006fbf4,Antwane Wells Jr.,WR,,0.8,5.0,0.0,4.0,4.0,0.0,1.0,2.0,-8.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,61.0,553.0,19.75,66.0,6.0,61.0,529.0,6.0,24.0,20.0
a78bff00-eac9-11ee-8a20-978585ed32d7,Raymond Collins,LB,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
